0 degree,30 degree,45 degree,60 degree,90 degree,120 degree,135 degree,150 degree,180 degree,velocity,angular_velocity
2.1853268147,2.9194498062,4.6431269646,3.8196656704,5,2.071095705,5,1.8435425758,1.8172591925,5,565.4866776462
2.4582033157,3.5262136459,4.5130443573,4.112642765,5,1.7511335611,5,1.6335390806,1.7480820417,5,565.4866776462
2.4582033157,3.5262136459,4.5130443573,4.112642765,5,1.7511335611,5,1.6335390806,1.7480820417,5,565.4866776462
2.9184706211,3.7288889885,4.1277546883,4.1454086304,4.8399753571,5,5,1.3991020918,1.6313995123,5,565.4866776462
2.9184706211,3.7288889885,4.1277546883,4.1454086304,4.8399753571,5,5,1.3991020918,1.6313995123,5,565.4866776462
3.4010064602,3.8278653622,3.7821969986,3.7336466312,4.8934202194,5,5,1.1290652752,1.4476000071,5,565.4866776462
3.4010064602,3.8278653622,3.7821969986,3.7336466312,4.8934202194,5,5,1.1290652752,1.4476000071,5,565.4866776462
3.5698318481,3.4263589382,3.5664615631,3.3745906353,5,5,5,1.5457624197,1.1395112276,5,565.4866776462
3.5698318481,3.4263589382,3.5664615631,3.3745906353,5,5,5,1.5457624197,1.1395112276,5,565.4866776462
3.5007572174,3.0703806877,3.4865479469,3.1527569294,5,3.4595527649,5,1.7051423788,0.9801206589,5,565.4866776462
3.5007572174,3.0703806877,3.4865479469,3.1527569294,5,3.4595527649,5,1.7051423788,0.9801206589,5,565.4866776462
3.0837945938,2.8610055447,3.5701723099,3.0670471191,5,2.7275218964,5,1.721999526,1.1515419483,5,565.4866776462
3.0837945938,2.8610055447,3.5701723099,3.0670471191,5,2.7275218964,5,1.721999526,1.1515419483,5,565.4866776462
2.7625441551,2.7908594608,3.8743143082,3.1354393959,5,2.3099617958,4.2224450111,1.6718919277,1.2568490505,5,0
2.7625441551,2.7908594608,3.8743143082,3.1354393959,5,2.3099617958,4.2224450111,1.6718919277,1.2568490505,5,0
2.6378800869,2.6649177074,3.6951613426,2.9939479828,5,2.5269672871,4.6496653557,1.8377230167,1.3815131187,5,0
2.6378800869,2.6649177074,3.6951613426,2.9939479828,5,2.5269672871,4.6496653557,1.8377230167,1.3815131187,5,0
2.5132160187,2.5389759541,3.5094103813,2.8524563313,5,2.7623560429,5,2.0035541058,1.5061770678,5,565.4866776462
2.5132160187,2.5389759541,3.5094103813,2.8524563313,5,2.7623560429,5,2.0035541058,1.5061770678,5,565.4866776462
2.3652939796,2.6034443378,5,3.0873188972,5,2.3360452652,3.5403008461,1.8656122684,1.549603343,5,-565.4866776462
2.3652939796,2.6034443378,5,3.0873188972,5,2.3360452652,3.5403008461,1.8656122684,1.549603343,5,-565.4866776462
2.343640089,2.367661953,3.2829124928,2.6599907875,5,3.0622677803,5,2.2291283607,1.6757529974,5,565.4866776462
